Application mode,Course,Previous qualification,Nacionality,Mother's occupation,Father's occupation,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Target
8,2,1,1,6,10,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10.8,Dropout
6,11,1,1,4,4,0,0,0,1,0,19,0,6,6,6,14,0,0,6,6,6,13.66666667,0,13.9,Graduate
1,5,1,1,10,10,0,0,0,1,0,19,0,6,0,0,0,0,0,6,0,0,0,0,10.8,Dropout
8,15,1,1,6,4,0,0,1,0,0,20,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,Graduate
12,3,1,1,10,10,0,0,1,0,0,45,0,6,9,5,12.33333333,0,0,6,6,6,13,0,13.9,Graduate
12,17,12,1,10,8,0,1,1,1,0,50,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,Graduate
1,12,1,1,8,11,0,0,1,0,1,18,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,Graduate
9,11,1,1,10,10,0,0,0,1,0,22,0,5,5,0,0,0,0,5,5,0,0,0,15.5,Dropout
1,10,1,15,10,10,0,0,1,0,1,21,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,Graduate
1,10,1,1,5,8,0,1,0,0,0,18,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,Dropout
1,14,1,1,6,8,0,0,1,0,0,18,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,Graduate
1,12,1,1,10,10,0,0,1,0,1,18,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,Graduate
1,16,1,1,5,10,0,0,1,0,0,19,0,6,6,0,0,0,0,6,0,0,0,0,12.7,Dropout
17,11,16,1,5,8,0,0,1,0,1,21,0,6,7,6,10.57142857,0,0,6,8,5,11,0,8.9,Graduate
1,6,1,1,6,6,0,0,1,0,1,18,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,Graduate
1,15,1,1,10,4,0,0,1,0,0,20,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,Dropout
9,10,1,1,6,9,0,0,1,0,0,18,0,6,10,1,12,0,0,6,14,2,11,0,10.8,Enrolled
8,12,1,1,6,5,0,0,1,0,0,18,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,Graduate
1,8,1,1,4,6,0,0,1,0,0,20,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,Graduate
1,16,1,1,8,8,0,0,1,0,0,18,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,Enrolled
1,2,1,1,10,9,0,0,1,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,11.1,Graduate
9,13,1,1,5,8,0,0,1,0,0,20,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,Enrolled
1,12,1,1,2,2,0,0,1,0,0,18,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,Graduate
1,14,1,1,5,8,0,0,1,0,1,19,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,Graduate
1,12,1,1,4,8,0,0,1,0,0,19,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,Graduate
1,10,1,1,10,10,0,1,1,0,1,18,0,6,8,5,11.6,0,0,6,12,4,11,0,7.6,Enrolled
8,10,1,1,8,9,0,0,1,0,0,21,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,Graduate
1,6,1,1,4,4,0,0,1,0,0,18,0,5,9,5,12.66666667,2,0,5,7,4,13,0,9.4,Enrolled
1,9,1,1,10,10,0,0,1,0,0,20,0,5,6,5,12,0,0,5,6,5,12.33333333,0,16.2,Graduate
8,12,1,1,2,11,0,0,1,1,0,19,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,Enrolled
15,4,14,1,5,3,0,0,1,1,0,21,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,Enrolled
16,5,1,1,16,22,0,0,1,1,0,20,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,Graduate
1,9,1,1,5,7,0,0,0,1,0,18,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,Enrolled
9,3,1,1,10,6,0,0,1,0,0,19,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,Graduate
1,17,1,1,4,10,0,0,1,1,0,34,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,Graduate
12,1,1,1,10,7,0,1,0,1,0,37,0,7,7,0,0,0,0,7,7,1,10,0,8.9,Dropout
12,7,8,1,1,1,0,0,1,1,0,43,0,5,0,0,0,0,0,5,0,0,0,0,7.6,Dropout
14,9,1,1,7,7,0,0,1,0,0,55,0,5,10,1,10,0,0,5,8,2,12,2,16.2,Dropout
12,17,1,1,10,4,0,0,1,0,0,39,0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,Graduate
15,8,14,3,4,7,0,1,0,0,0,20,2,6,13,3,11.66666667,0,1,6,11,3,12,0,12.4,Dropout
1,15,1,1,3,3,0,1,1,0,0,18,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,Dropout
1,9,1,1,3,8,0,0,1,0,0,22,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,Graduate
1,12,1,1,3,3,1,0,1,0,0,22,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,Graduate
8,15,1,1,6,6,0,0,0,0,0,20,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,Dropout
12,17,1,1,10,10,0,0,1,0,0,29,0,5,0,0,0,0,0,5,0,0,0,0,16.2,Dropout
8,17,1,1,5,6,0,0,1,0,0,24,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,Enrolled
8,10,1,1,10,10,0,0,1,0,0,18,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,Graduate
8,12,1,1,8,8,0,0,1,0,1,22,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,Graduate
15,3,14,1,10,10,0,0,1,0,1,21,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,Graduate
